Name,popularity_mean,Line,X,Y,ID,StationNumber,popularity_calc
ЦСКА,13.69767441860465,11,534.1812401000002,589.1566364,214,4,
Петровский парк,15.44186046511628,11,604.1335452999998,524.1995053999998,215,5,
Каширская,75.86046511627907,11A,1173.426573,1739.705584,216,1,
Варшавская,62.93023255813954,11A,1041.022909,1783.023211,217,2,
Каховская,68.67441860465117,11A,873.734683,1784.088975,218,3,
Битцевский парк,42.906976744186046,12,662.9055007000002,2004.662116,219,1,
Лесопарковая,16.093023255813954,12,773.8598966,2005.602389,220,2,
Улица Старокачаловская,40.97674418604651,12,866.0084626,2074.242321,221,3,
Улица Скобелевская,57.325581395348834,12,794.5463093999997,2126.897611,222,4,
Бульвар Адмирала Ушакова,41.093023255813954,12,677.9501646000001,2126.897611,223,5,
Улица Горчакова,58.883720930232556,12,551.0108134,2127.837884,224,6,
Бунинская аллея,68.83720930232558,12,425.0117536,2128.778157,225,7,
Тимирязевская,,13,829.3706294,344.0253807,226,1,
Улица Милашенкова,,13,937.0629371,344.0253807,227,2,
Телецентр,,13,1027.180527,343.2592047,228,3,
Улица Академика Королёва,,13,1111.561866,344.0706922,229,4,
Выставочный центр,,13,1203.245436,344.8821797,230,5,
Улица Сергея Эйзенштейна,,13,1247.870183,327.02945510000006,231,6,
Окружная,,14,849.0009825999997,243.7241379,232,1,
Владыкино,,14,964.4970414,228.1587112,233,2,
Ботанический сад,,14,1261.012492,279.4451074,234,3,
Ростокино,,14,1309.664694,301.1431981,235,4,
Белокаменная,,14,1380.013149,342.5668258,236,5,
Бульвар Рокоссовского,,14,1445.101907,393.853222,237,6,
Локомотив,,14,1502.95858,451.7147971,238,7,
Измайлово,,14,1616.042078,625.2995227000001,239,8,
Соколиная Гора,,14,1631.82117,662.1205251,240,9,
Шоссе Энтузиастов,,14,1671.268902,835.7052506,241,10,
Андроновка,,14,1667.981591,978.3866348,242,11,
Нижегородская,,14,1660.749507,1029.673031,243,12,
Новохохловская,,14,1644.312952,1091.479714,244,13,
Угрешская,,14,1483.2347140000006,1361.062053,245,14,
Дубровка,,14,1378.040763,1447.854415,246,15,
Автозаводская,,14,1183.431953,1537.27685,247,16,
ЗИЛ,,14,1113.74096,1552.399761,248,17,
Верхние Котлы,,14,992.7679158,1562.26253,249,18,
Крымская,,14,820.5128205,1538.591885,250,19,
Площадь Гагарина,,14,656.8047337,1470.210024,251,20,
Лужники,,14,452.3339908,1284.789976,252,21,
Кутузовская,,14,349.112426,1075.041766,253,22,
Деловой центр,,14,325.5813953,944.1034483,254,23,
Шелепиха,,14,328.2017688,820.9310345,255,24,
Хорошёво,,14,360.3013429,681.3793102999998,256,25,
Зорге,,14,372.7481166,644.6896552000002,257,26,
ЦСКА,,14,427.1208647,540.5172414,258,27,
Панфиловская,,14,512.9380937,429.7931034,259,28,
Стрешнево,,14,553.5538813999998,394.4137931,260,29,
Балтийская,,14,687.8480182999997,301.3793103,261,30,
Коптево,,14,757.2879135,269.9310345,262,31,
Лихоборы,,14,757.2879135,269.9310345,263,32,
